,0,1,2
133,33500,tensor(0.0178),tensor(97.3552)
134,33750,tensor(0.0756),tensor(97.2273)
135,34000,tensor(0.0881),tensor(97.4283)
136,34250,tensor(0.0780),tensor(97.5516)
137,34500,tensor(0.1199),tensor(97.1131)
138,34750,tensor(0.0132),tensor(97.5653)
139,35000,tensor(0.0202),tensor(97.5471)
140,35250,tensor(0.0612),tensor(97.4694)
141,35500,tensor(0.0258),tensor(97.3963)
142,35750,tensor(0.0175),tensor(97.3050)
143,36000,tensor(0.0313),tensor(97.5242)
144,36250,tensor(0.0052),tensor(97.4922)
145,36500,tensor(0.0087),tensor(97.4740)
146,36750,tensor(0.0474),tensor(97.5745)
147,37000,tensor(0.0685),tensor(97.2730)
148,37250,tensor(0.0546),tensor(97.4054)
149,37500,tensor(0.1262),tensor(97.4100)
150,37750,tensor(0.1857),tensor(97.6887)
151,38000,tensor(0.1445),tensor(97.4785)
152,38250,tensor(0.0205),tensor(97.5379)
153,38500,tensor(0.0379),tensor(97.5973)
154,38750,tensor(0.0224),tensor(97.4603)
155,39000,tensor(0.0117),tensor(97.5379)
156,39250,tensor(0.0779),tensor(97.4740)
157,39500,tensor(0.1212),tensor(97.6110)
158,39750,tensor(0.0436),tensor(97.5059)
159,40000,tensor(0.0948),tensor(97.6201)
160,40250,tensor(0.0083),tensor(97.4557)
161,40500,tensor(0.0132),tensor(97.5288)
162,40750,tensor(0.0555),tensor(97.5516)
163,41000,tensor(0.0672),tensor(97.3917)
164,41250,tensor(0.0258),tensor(97.5699)
165,41500,tensor(0.0330),tensor(97.5014)
166,41750,tensor(0.0269),tensor(97.5516)
167,42000,tensor(0.0384),tensor(97.6019)
168,42250,tensor(0.0967),tensor(97.6019)
169,42500,tensor(0.0213),tensor(97.1131)
170,42750,tensor(0.0648),tensor(97.2821)
171,43000,tensor(0.0244),tensor(97.6064)
172,43250,tensor(0.0698),tensor(97.5882)
173,43500,tensor(0.0247),tensor(97.5973)
174,43750,tensor(0.0079),tensor(97.4968)
175,44000,tensor(0.0809),tensor(97.5059)
176,44250,tensor(0.0426),tensor(97.0080)
177,44500,tensor(0.0452),tensor(97.3963)
178,44750,tensor(0.0371),tensor(97.6201)
179,45000,tensor(0.0200),tensor(97.7891)
180,45250,tensor(0.0488),tensor(97.6156)
181,45500,tensor(0.0254),tensor(97.5471)
182,45750,tensor(0.1821),tensor(97.2227)
183,46000,tensor(0.1214),tensor(97.4146)
184,46250,tensor(0.0162),tensor(97.5745)
185,46500,tensor(0.0582),tensor(97.4648)
186,46750,tensor(0.0866),tensor(97.6430)
187,47000,tensor(0.0770),tensor(97.5379)
188,47250,tensor(0.0782),tensor(97.7206)
189,47500,tensor(0.0357),tensor(97.2730)
190,47750,tensor(0.0592),tensor(97.4146)
191,48000,tensor(0.0346),tensor(97.5699)
192,48250,tensor(0.0480),tensor(97.5653)
