epoch,acc,loss,lr,val_acc,val_loss
0,0.9027640223503113,0.3317977488040924,0.001,0.9369575381278992,0.21925126016139984
1,0.9415848255157471,0.20770485699176788,0.001,0.9540886282920837,0.16693845391273499
2,0.95573490858078,0.16496214270591736,0.001,0.9643672704696655,0.13309592008590698
3,0.9604051113128662,0.14590460062026978,0.001,0.9665372371673584,0.12727802991867065
4,0.9638062119483948,0.13453510403633118,0.001,0.9674509167671204,0.11997756361961365
5,0.9660778045654297,0.12657120823860168,0.001,0.9703060984611511,0.10902009904384613
6,0.967384934425354,0.1189674437046051,0.001,0.971562385559082,0.10178139805793762
7,0.9688190221786499,0.1118578240275383,0.001,0.970077633857727,0.1070137768983841
8,0.9704307317733765,0.10626286268234253,0.001,0.9728186130523682,0.10056725889444351
9,0.9710018038749695,0.10360003262758255,0.001,0.9760164618492126,0.09279326349496841
10,0.9734384417533875,0.09652981162071228,0.001,0.9739606976509094,0.09392622113227844
11,0.9740095138549805,0.09318224340677261,0.001,0.9768158793449402,0.08798957616090775
12,0.9748470783233643,0.08827919512987137,0.001,0.9754453897476196,0.08630213886499405
13,0.975963830947876,0.08663689345121384,0.001,0.979328453540802,0.07774575799703598
14,0.9766364693641663,0.0837709978222847,0.001,0.9769300818443298,0.08092746883630753
15,0.9769664406776428,0.08352183550596237,0.001,0.9788716435432434,0.08138880878686905
16,0.9777405261993408,0.07984357327222824,0.001,0.9763590693473816,0.0812472328543663
17,0.9816365838050842,0.06430554389953613,0.000100000005,0.9806989431381226,0.0687837079167366
18,0.9835655689239502,0.058271005749702454,0.000100000005,0.9810415506362915,0.0672939196228981
19,0.9838193655014038,0.05594203621149063,0.000100000005,0.9803563356399536,0.06912093609571457
20,0.9837051630020142,0.05637676641345024,0.000100000005,0.9813842177391052,0.06645563989877701
21,0.9843651056289673,0.054478805512189865,0.000100000005,0.9816126227378845,0.06717102974653244
22,0.984771192073822,0.05294805392622948,0.000100000005,0.9820694327354431,0.06563764065504074
23,0.984339714050293,0.05309254676103592,0.000100000005,0.9813842177391052,0.06512375921010971
24,0.9851518869400024,0.0514826625585556,0.000100000005,0.9811557531356812,0.06644990295171738
25,0.9853549599647522,0.05001705512404442,0.000100000005,0.9820694327354431,0.06547950208187103
26,0.9856468439102173,0.04940253868699074,1.0000001e-05,0.9818410277366638,0.0644032210111618
27,0.986129105091095,0.048573851585388184,1.0000001e-05,0.9818410277366638,0.064565509557724
