epoch, accuracy
1,0.8438
2,0.8858
3,0.8961
4,0.9245
5,0.9330
6,0.9433
7,0.9519
8,0.9502
9,0.9511
10,0.9639
11,0.9682
12,0.9528
13,0.9708
14,0.9700
15,0.9803
16,0.9768
17,0.9803
18,0.9588
19,0.9880
20,0.9863
21,0.9863
22,0.9880
23,0.9871
