,0,1,2
133,33500,tensor(0.0022),tensor(97.8701)
134,33750,tensor(0.0026),tensor(96.3586)
135,34000,tensor(0.0095),tensor(97.3892)
136,34250,tensor(0.0642),tensor(97.4579)
137,34500,tensor(0.0017),tensor(97.4923)
138,34750,tensor(0.0014),tensor(97.3205)
139,35000,tensor(0.0061),tensor(97.6297)
140,35250,tensor(0.0632),tensor(97.0800)
141,35500,tensor(0.0476),tensor(96.4617)
142,35750,tensor(0.0087),tensor(97.6984)
143,36000,tensor(0.0147),tensor(97.8014)
144,36250,tensor(0.0016),tensor(97.1831)
145,36500,tensor(0.0100),tensor(97.5266)
146,36750,tensor(0.0035),tensor(96.8052)
147,37000,tensor(0.0344),tensor(97.2175)
148,37250,tensor(0.0325),tensor(97.2175)
149,37500,tensor(0.0243),tensor(97.4579)
150,37750,tensor(0.0440),tensor(97.0457)
151,38000,tensor(0.0025),tensor(96.9426)
152,38250,tensor(0.0099),tensor(96.9426)
153,38500,tensor(0.0072),tensor(96.9426)
154,38750,tensor(0.1068),tensor(97.3892)
155,39000,tensor(0.0396),tensor(96.4960)
156,39250,tensor(0.0066),tensor(96.8739)
157,39500,tensor(0.0074),tensor(96.7365)
158,39750,tensor(0.0033),tensor(97.5953)
159,40000,tensor(0.0393),tensor(96.9083)
160,40250,tensor(0.0066),tensor(97.3549)
161,40500,tensor(0.0496),tensor(97.0113)
162,40750,tensor(0.0032),tensor(97.5610)
163,41000,tensor(0.0022),tensor(97.1831)
164,41250,tensor(0.0030),tensor(97.5266)
165,41500,tensor(0.0006),tensor(97.0113)
166,41750,tensor(0.0152),tensor(97.1144)
167,42000,tensor(0.0388),tensor(96.7709)
168,42250,tensor(0.0021),tensor(97.1144)
169,42500,tensor(0.0030),tensor(97.2862)
170,42750,tensor(0.0009),tensor(97.6640)
171,43000,tensor(0.0039),tensor(97.9389)
172,43250,tensor(0.0274),tensor(97.4923)
173,43500,tensor(0.0217),tensor(97.2862)
174,43750,tensor(0.0025),tensor(96.7365)
175,44000,tensor(0.0037),tensor(97.5266)
176,44250,tensor(0.0071),tensor(97.6297)
177,44500,tensor(0.0016),tensor(97.4579)
178,44750,tensor(0.0127),tensor(97.5953)
179,45000,tensor(0.0040),tensor(97.6297)
180,45250,tensor(0.0046),tensor(97.0457)
181,45500,tensor(0.0051),tensor(97.1487)
182,45750,tensor(0.0087),tensor(97.2518)
183,46000,tensor(0.0061),tensor(97.2518)
184,46250,tensor(0.0006),tensor(97.5610)
185,46500,tensor(0.0726),tensor(96.8739)
186,46750,tensor(0.0142),tensor(97.3892)
187,47000,tensor(0.0203),tensor(97.8701)
188,47250,tensor(0.0010),tensor(97.4579)
189,47500,tensor(0.0292),tensor(97.3892)
190,47750,tensor(0.0051),tensor(97.1487)
191,48000,tensor(0.0051),tensor(97.7327)
192,48250,tensor(0.0165),tensor(97.3205)
193,48500,tensor(0.0035),tensor(97.5953)
194,48750,tensor(0.0276),tensor(97.5266)
195,49000,tensor(0.0093),tensor(97.1144)
196,49250,tensor(0.0007),tensor(98.0419)
