,0,1,2
0,250,tensor(0.4114),tensor(83.7856)
1,500,tensor(0.3527),tensor(86.0185)
2,750,tensor(0.2072),tensor(90.0034)
3,1000,tensor(0.2246),tensor(90.8966)
4,1250,tensor(0.1695),tensor(91.2401)
5,1500,tensor(0.1470),tensor(89.6943)
6,1750,tensor(0.2144),tensor(92.7173)
7,2000,tensor(0.0958),tensor(92.9577)
8,2250,tensor(0.2117),tensor(90.5874)
9,2500,tensor(0.1377),tensor(93.0608)
10,2750,tensor(0.0656),tensor(94.4349)
11,3000,tensor(0.0741),tensor(94.3662)
12,3250,tensor(0.0936),tensor(93.1982)
13,3500,tensor(0.0358),tensor(94.3662)
14,3750,tensor(0.1043),tensor(94.1257)
15,4000,tensor(0.0304),tensor(95.3281)
16,4250,tensor(0.0395),tensor(95.6029)
17,4500,tensor(0.1341),tensor(93.6448)
18,4750,tensor(0.1009),tensor(96.2212)
19,5000,tensor(0.0634),tensor(95.6372)
20,5250,tensor(0.0340),tensor(94.1257)
21,5500,tensor(0.0986),tensor(95.8090)
22,5750,tensor(0.1408),tensor(95.1219)
23,6000,tensor(0.0471),tensor(95.3968)
24,6250,tensor(0.0280),tensor(94.8471)
25,6500,tensor(0.1476),tensor(95.8777)
26,6750,tensor(0.0669),tensor(96.0838)
27,7000,tensor(0.0557),tensor(95.6716)
28,7250,tensor(0.0713),tensor(96.5648)
29,7500,tensor(0.0320),tensor(95.4998)
30,7750,tensor(0.0694),tensor(95.4998)
31,8000,tensor(0.0925),tensor(96.3243)
32,8250,tensor(0.1308),tensor(96.5648)
33,8500,tensor(0.0337),tensor(95.8434)
34,8750,tensor(0.0162),tensor(95.2937)
35,9000,tensor(0.1214),tensor(96.1525)
36,9250,tensor(0.0451),tensor(96.3586)
37,9500,tensor(0.0722),tensor(96.2899)
38,9750,tensor(0.0519),tensor(96.5304)
39,10000,tensor(0.0072),tensor(96.2556)
40,10250,tensor(0.0405),tensor(96.5648)
41,10500,tensor(0.0507),tensor(96.4273)
42,10750,tensor(0.0579),tensor(95.9808)
43,11000,tensor(0.0299),tensor(95.7747)
44,11250,tensor(0.0307),tensor(95.7403)
45,11500,tensor(0.0694),tensor(96.7022)
46,11750,tensor(0.0604),tensor(96.4617)
47,12000,tensor(0.0062),tensor(96.9083)
48,12250,tensor(0.0074),tensor(97.3549)
49,12500,tensor(0.0040),tensor(97.1831)
50,12750,tensor(0.0039),tensor(96.8739)
51,13000,tensor(0.0049),tensor(96.8396)
52,13250,tensor(0.0121),tensor(95.9808)
53,13500,tensor(0.0517),tensor(97.0113)
54,13750,tensor(0.0152),tensor(96.5304)
55,14000,tensor(0.0209),tensor(96.4273)
56,14250,tensor(0.0303),tensor(96.0151)
57,14500,tensor(0.0550),tensor(96.8052)
58,14750,tensor(0.0246),tensor(96.5991)
59,15000,tensor(0.0038),tensor(97.3205)
60,15250,tensor(0.0155),tensor(97.1144)
61,15500,tensor(0.0736),tensor(97.0800)
62,15750,tensor(0.0176),tensor(96.7022)
63,16000,tensor(0.0346),tensor(97.0457)
64,16250,tensor(0.0037),tensor(96.7365)
65,16500,tensor(0.0597),tensor(96.4273)
66,16750,tensor(0.0268),tensor(97.2862)
67,17000,tensor(0.0022),tensor(96.6335)
68,17250,tensor(0.0139),tensor(96.8052)
69,17500,tensor(0.0075),tensor(96.7022)
70,17750,tensor(0.0120),tensor(97.7671)
71,18000,tensor(0.0311),tensor(96.7365)
72,18250,tensor(0.0155),tensor(97.0113)
73,18500,tensor(0.0219),tensor(96.8396)
74,18750,tensor(0.0162),tensor(97.0457)
75,19000,tensor(0.0419),tensor(97.3549)
76,19250,tensor(0.0203),tensor(97.1487)
77,19500,tensor(0.0214),tensor(97.3549)
78,19750,tensor(0.0010),tensor(96.9770)
79,20000,tensor(0.0073),tensor(97.1831)
80,20250,tensor(0.0178),tensor(96.0838)
81,20500,tensor(0.0315),tensor(96.3586)
82,20750,tensor(0.0203),tensor(97.0800)
83,21000,tensor(0.0106),tensor(97.0113)
84,21250,tensor(0.0465),tensor(97.3205)
85,21500,tensor(0.0094),tensor(96.7022)
86,21750,tensor(0.0100),tensor(97.1831)
87,22000,tensor(0.0071),tensor(97.1831)
88,22250,tensor(0.0053),tensor(97.2862)
89,22500,tensor(0.0112),tensor(97.5610)
90,22750,tensor(0.0093),tensor(97.1487)
91,23000,tensor(0.0012),tensor(97.2175)
92,23250,tensor(0.0119),tensor(97.0113)
93,23500,tensor(0.0296),tensor(96.8396)
94,23750,tensor(0.0546),tensor(97.2862)
95,24000,tensor(0.0020),tensor(97.0800)
96,24250,tensor(0.0061),tensor(97.1487)
97,24500,tensor(0.0678),tensor(95.9464)
98,24750,tensor(0.0225),tensor(96.6335)
99,25000,tensor(0.0183),tensor(97.2862)
100,25250,tensor(0.0318),tensor(97.5953)
101,25500,tensor(0.0325),tensor(96.9426)
102,25750,tensor(0.0137),tensor(96.8052)
103,26000,tensor(0.0190),tensor(96.1869)
104,26250,tensor(0.0460),tensor(97.6640)
105,26500,tensor(0.0170),tensor(97.5610)
106,26750,tensor(0.0019),tensor(97.6297)
107,27000,tensor(0.0033),tensor(96.4617)
108,27250,tensor(0.0053),tensor(97.3549)
109,27500,tensor(0.0438),tensor(97.2862)
110,27750,tensor(0.0107),tensor(97.0457)
111,28000,tensor(0.0053),tensor(96.9770)
112,28250,tensor(0.0172),tensor(97.6297)
113,28500,tensor(0.0006),tensor(97.9389)
114,28750,tensor(0.0022),tensor(97.0800)
115,29000,tensor(0.0085),tensor(97.4923)
116,29250,tensor(0.0020),tensor(97.8358)
117,29500,tensor(0.0057),tensor(96.8739)
118,29750,tensor(0.0033),tensor(97.3205)
119,30000,tensor(0.0113),tensor(97.4579)
120,30250,tensor(0.0549),tensor(95.4655)
121,30500,tensor(0.0319),tensor(96.8739)
122,30750,tensor(0.0236),tensor(97.2175)
123,31000,tensor(0.0046),tensor(97.6297)
124,31250,tensor(0.0307),tensor(96.8396)
125,31500,tensor(0.0025),tensor(97.1487)
126,31750,tensor(0.0244),tensor(97.4923)
127,32000,tensor(0.0022),tensor(97.4579)
128,32250,tensor(0.0284),tensor(97.0457)
129,32500,tensor(0.0432),tensor(97.1144)
130,32750,tensor(0.0021),tensor(97.1831)
131,33000,tensor(0.0046),tensor(97.9732)
132,33250,tensor(0.0032),tensor(97.3205)
133,33500,tensor(0.0082),tensor(97.3892)
134,33750,tensor(0.0107),tensor(97.2518)
135,34000,tensor(0.0243),tensor(97.2175)
136,34250,tensor(0.0061),tensor(97.5953)
137,34500,tensor(0.0101),tensor(97.2175)
138,34750,tensor(0.0066),tensor(98.0076)
139,35000,tensor(0.0185),tensor(97.1144)
140,35250,tensor(0.0084),tensor(96.7022)
141,35500,tensor(0.0023),tensor(96.9426)
142,35750,tensor(0.0021),tensor(97.4579)
143,36000,tensor(0.0040),tensor(97.1144)
144,36250,tensor(0.0141),tensor(97.1831)
145,36500,tensor(0.0026),tensor(97.2518)
146,36750,tensor(0.0194),tensor(96.6678)
147,37000,tensor(0.0431),tensor(96.7709)
148,37250,tensor(0.0538),tensor(96.0495)
149,37500,tensor(0.0187),tensor(97.0457)
150,37750,tensor(0.0480),tensor(97.3205)
151,38000,tensor(0.0009),tensor(98.0763)
152,38250,tensor(0.0352),tensor(97.5953)
153,38500,tensor(0.0760),tensor(96.3243)
154,38750,tensor(0.1074),tensor(97.0113)
155,39000,tensor(0.0037),tensor(97.6640)
156,39250,tensor(0.0554),tensor(97.8701)
157,39500,tensor(0.0142),tensor(97.5610)
158,39750,tensor(0.0045),tensor(97.3205)
159,40000,tensor(0.0156),tensor(97.7671)
160,40250,tensor(0.0056),tensor(97.8358)
161,40500,tensor(0.0160),tensor(96.4273)
162,40750,tensor(0.0073),tensor(97.0800)
163,41000,tensor(0.0699),tensor(96.9083)
164,41250,tensor(0.0038),tensor(97.6640)
165,41500,tensor(0.0170),tensor(97.8701)
166,41750,tensor(0.0104),tensor(97.8358)
167,42000,tensor(0.0307),tensor(97.4923)
168,42250,tensor(0.0270),tensor(97.0800)
169,42500,tensor(0.0010),tensor(97.0113)
170,42750,tensor(0.0090),tensor(96.9426)
171,43000,tensor(0.0011),tensor(97.6640)
172,43250,tensor(0.0070),tensor(98.0076)
173,43500,tensor(0.0524),tensor(96.6678)
174,43750,tensor(0.0027),tensor(96.1869)
175,44000,tensor(0.0068),tensor(96.3586)
176,44250,tensor(0.0020),tensor(97.0457)
177,44500,tensor(0.0065),tensor(97.4923)
178,44750,tensor(0.0085),tensor(97.5953)
179,45000,tensor(0.0247),tensor(97.0457)
180,45250,tensor(0.0014),tensor(96.8739)
181,45500,tensor(0.0043),tensor(96.5991)
182,45750,tensor(0.0034),tensor(97.9045)
183,46000,tensor(0.0046),tensor(97.9045)
184,46250,tensor(0.0004),tensor(98.1450)
185,46500,tensor(0.0072),tensor(96.7022)
186,46750,tensor(0.0160),tensor(97.2175)
187,47000,tensor(0.0089),tensor(97.3892)
188,47250,tensor(0.0155),tensor(96.9770)
189,47500,tensor(0.0249),tensor(96.7709)
190,47750,tensor(0.0070),tensor(96.7709)
191,48000,tensor(0.0021),tensor(97.2862)
192,48250,tensor(0.0110),tensor(96.9083)
